,Date,Region,Source,Ship Type,Area,Location,Pollutant,Estimated Litres
43,27/01/2017,Cairns,Ship,Fishing,Coastal Waters,"Fitzgerald Esplanade, Johnstone River, Innisfail.",Diesel,100
44,31/01/2017,Mackay,Ship,Commercial,Coastal Waters,"Finger number 12, Airlie Beach Marina, Airlie Beach",Other (Engine Oil),8
45,9/02/2017,Brisbane,Ship,Commercial,Port Limits,"Spitfire Channel, Moreton Bay, Brisbane",Other (Hydraulic Oil),Unknown
46,10/02/2017,Townsville,Ship,Commercial,Port Limits,"Vehicle Ferry Terminal, Ross creek, Townsville",Diesel,15
47,13/02/2017,Brisbane,Unknown,,Port Limits,"Mooloolaba Yachat Club, Mooloolaba River, Mooloolaba",Diesel,Unknown
48,14/02/2017,Townsville,Ship,Commercial,Port Limits,"Port of Townsville, Townsville",Other (soot),Unknown
49,18/02/2017,Brisbane,Unknown,,Port Limits,"Browns slip way, Mooloolaba River, Mooloolaba",Diesel,Unknown
50,18/02/2017,Townsville,Ship,Commercial,Port Limits,"Port of Townsville, Townsville",Other (Hydraulic Oil),1
51,21/02/2017,Mackay,Ship,Trading Ship,Port Limits,"Anchorage S13, Hay Point",Other (low sulphur Gas Oil),3
52,22/02/2017,Gladstone,Unknown,,Port Limits,"Public boat ramp, Gladstone Marina, Gladstone",Bilge,Unknown
53,25/02/2017,Townsville,Unknown,,Port Limits,"Fantasea loading ramp, Ross Creek, Townsville",Sheen,Unknown
54,10/03/2017,Mackay,Ship,Commercial,Port Limits,"Hey Point terminal, Hay Point",Diesel,40
55,14/03/2017,Brisbane,Land,,Coastal Waters,"Kawana Waters Canal, Sunshine Coast",Sheen,Unknown
56,17/03/2017,Townsville,Unknown,,Port Limits,"Rosshaven Marina, Ross River, Townsville",Sheen,Unknown
57,18/03/2017,Brisbane,Ship,Commercial,Port Limits,"Incitec South, Lytton Reach, Brisbane River, Brisbane",HFO,500
58,21/03/2017,Cairns,Ship,Recreational,Port Limits,"Main Wharf, Thursday Island",Diesel,2
59,24/03/2017,Townsville,Unknown,,Port Limits,Townsville - Upstream Ross Creek in vicinity of Lowths Bridge,Sheen,Unknown
60,26/03/2017,Cairns,Ship,Commercial,Port Limits,Karumba - Raptis Wharf,Diesel,300
61,27/03/2017,Cairns,Ship,Commercial,Port Limits,"HumBug Terminal, Weipa",Other (garnet and paint),Unknown
62,19/04/2017,Gladstone,Land,,Port Limits,Drain Near Tuan Creek ,Other (grease trap),
63,16/05/2017,Cairns,Ship,Commercial,Port Limits,Trinity Wharf,Other (lubricant oil),1
64,17/05/2017,Townsville,Ship,Commercial,Port Limits,Breth 5 Port of Townsville,Diesel,1
65,17/05/2017,Gladstone,Unknown,,Port Limits,"Urangan harbour, Hervey Bay",Sheen,Unknown
66,26/05/2017,Mackay,Ship,Commercial,Port Limits,BMA Hay Point (old) Trestle Bent 97,Other (Hydraulic Oil),Unknown
67,21/06/2017,Cairns,Ship,Commercial,Port Limits,BSE slipway floating wharf,Diesel,0.5
68,26/06/2017,Gladstone,Ship,Fishing,Port Limits,"Urangan boat harbour, Hervey Bay",Diesel,Unknown
69,29/06/2017,Cairns,Ship,Commercial,Port Limits,Cairns Trinity Wharf # 7/8.,Other (grey water),40
0,2017-07-05 00:00:00,Townsville,Unknown,Unknown,Port Limits,"Northern entrance to West Channel, Townsville",Diesel Sheen,Unknown
1,2017-07-07 00:00:00,Brisbane,Ship,Recreational,Port Limits,"Qld Cruising Yacht Club, Cabbage Tree Creek, Shorncliffe",Oil,Unknown
2,2017-09-03 00:00:00,Brisbane,Ship,Defence,Port Limits,"Queensland Bulk Terminal, Quarries Reach, Brisbane",Lubrication oil,0.3
3,2017-09-06 00:00:00,Townsville,Land,Unknown,Port limits,Berth 4 - Port of Townsville ,Molasses,50
4,2017-09-14 00:00:00,Gladstone,Ship,Unknown,Port Limits,"Town Reach, Burnett River, Bundaberg",Diesel,Unknown
5,2017-09-24 00:00:00,Gladstone,Land,Commercial,Port Limits,"Queensland Alumina Limited, South Trees Wharf, Gladstone",Sodium Hydroxide 50%,Unknown
6,2017-10-04 00:00:00,Gladstone,Ship,Recreational,Port Limits,"Gladstone Marina, Finger J2, Gladstone",Sump Oil,4
7,2017-10-11 00:00:00,Brisbane,Unknown,Unknown,Port Limits,Luggage Point Treatment Plant - Brisbane,Hydrocarbons into sewage treatment plant,Unknown
8,2017-10-11 00:00:00,Brisbane,Ship,Unknown,Port Limits,"Eagle Street Ferry Terminal, Brisbane River",Diesel,Unknown
9,2017-10-15 00:00:00,Gladstone,Ship,Unknown,Port Limits,"Gladstone Marina, Gladstone",Diesel,20
10,2017-10-20 00:00:00,Brisbane,Ship,Recreational,Coastal Waters,"Paradise Point, west of Ephraim Island, Gold Coast ",Diesel,10
11,2017-10-21 00:00:00,Cairns,Ship,Commercial,Port Limits,"B Finger, Commercial Fisherman base No 1, Cairns",Diesel,2
12,2017-10-25 00:00:00,Cairns,Ship,Commercial,Port Limits,"Norship, Smiths Creek, Cairns",Hydraulic Oil,2
13,2017-10-28 00:00:00,Cairns,Ship,Commercial,Port Limits,"Amrun CHITH export Facility,  Weipa",Diesel,
14,2017-10-28 00:00:00,Cairns,Ship,Commercial,Coastal Waters,"2.8nm from Gubbins Reef, Great Barrier Reef Marine Park",Diesel,
15,2017-10-28 00:00:00,Townsville,Ship,Commercial,Port Limits,"Berth 8, Port of Townsville, Townsville  ",Garbage ,
16,2017-11-10 00:00:00,Townsville,Ship,Commercial,Port Limits,"Berth 5, Ferry Landing, Port of Townsville, Townsville",Oil,
17,2017-11-14 00:00:00,Brisbane,Unknown,,Coastal Waters,"Carters Bay, Gold Coast",Oil,
18,2017-11-16 00:00:00,Brisbane,Ship,,Port Limits,"Brisbane Pilot Station, Mooloola River, Mooloolaba",Hydraulic Oil,
19,2017-11-18 00:00:00,Gladstone,Ship,,Port Limits,"Gladstone Marina, Gladstone",Diesel,
20,2017-11-19 00:00:00,Brisbane,Ship,,Coastal Waters,"Southern end of McIntosh Island, Gold Coast",Unleaded Petrol,
21,2017-11-20 00:00:00,Cairns,Land,,Port limits,"Amrun CHITH export Facility, Weipa. ",Diesel,
22,2017-11-27 00:00:00,Mackay,Unknown,,Port Limits,"East Point Beach, Mackay",Grease,
23,2017-12-03 00:00:00,Brisbane,,,Port Limits,"Dunwich, Stradbroke Island, Moreton Bay",Hydraulic Oil,1
24,2017-12-05 00:00:00,Mackay,,,Coastal Waters,"Homestead Bay, St Bees Island",Diesel,50
25,2017-12-21 00:00:00,Gladstone,,,Coastal Waters,"Rosslyn Bay Marina, Rosslyn Bay",Diesel,200
26,2017-12-27 00:00:00,Townsville,,,Coastal Waters,"Deep Creek, Saunders Beach, Townsville",Unknown,Unknown
27,2018-01-18 00:00:00,Brisbane,,Recreational,Coastal Waters,"Southport Yacht Club Pontoon, Southport",Diesel,0.5
28,2018-01-23 00:00:00,Townsville,,Unknown,Port Limits,"Berth 4, Townsville Marina, Townsville",Sheen ,1
29,2018-02-05 00:00:00,Brisbane,,Recreational,Coastal Waters,"Horizon Shores Marina, Gold Coast ",Diesel,1
30,2018-02-08 00:00:00,Cairns,Unknown,Unknown,Coastal Waters,"Cairns Duck pond, Smiths Creek , Cairns",Sheen,1
31,2018-03-21 00:00:00,Cairns,Ship,Commercial,Port Limits,"A Finger, Marlin Marina, Cairns",Diesel,100
32,2018-03-24 00:00:00,Gladstone,Land,Unknown,Port Limits,"Fitzroy River, Rockhampton ",Sheen,Unknown
33,2018-03-28 00:00:00,Brisbane,Ship,Recreational,Coastal Waters,"South of Currigee Camp Ground, South Stradbroke Island",Sheen,20
34,2018-04-15 00:00:00,Brisbane,Unknown,Unknown,Port Limits,"Doboy Ck, Bulimba, Brisbane",Petrol,Unknown
35,2018-04-15 00:00:00,Brisbane,Unknown,na,Coastal Waters,"Mariners Cove Fuel Wharf, Gold Coast",Diesel,10
36,2018-04-20 00:00:00,Brisbane,Ship,Commercial,Port Limits,"Brisbane River, Teneriffe, Brisbane",Soot,0.5
37,2018-04-23 00:00:00,Townsville,Unknown,Unknown,Port Limits,"Townsville Yacht Club, Townsville",Diesel,0.5
38,2018-05-02 00:00:00,Gladstone,Unknown,Unknown,Coastal Waters,"Mary River Slipway, Maryborough ",Diesel,20
39,2018-05-07 00:00:00,Gladstone,Unknown,Unknown,Coastal Waters,"Snapper Creek, Tin Can Bay",Sheen,Unknown
40,2018-05-08 00:00:00,Cairns,Ship,Commercial,Port Limits,"New Trawler Pens, Smiths Creek, Cairns",Diesel,10
41,2018-05-13 00:00:00,Brisbane,Unknown,Unknown,Port Limits,"Brisbane River, Port of Brisbane",Coal dust,2
42,2018-05-17 00:00:00,Brisbane,Unknown,Unknown,Coastal Waters,"Mooloolah River, Mooloolaba",Sheen,1.5
43,2018-05-25 00:00:00,Brisbane,Unknown,Unknown,Coastal Waters,"Mooloolah River, Mooloolaba, Commercial Fishing Wharves",Sheen,1.5
44,2018-05-28 00:00:00,Townsville,Ship,Commercial,Port Limits,"Townsville Breakwater, Townsville",Hydraulic Oil,30
45,2018-06-02 00:00:00,Mackay,Unknown,Unknown,Coastal Waters,"Abell Point Marina, Airlie Beach",Sheen,2.5
46,2018-06-03 00:00:00,Brisbane,Unknown,Unknown,Port Limits,"Bulimba Reach, Brisbane",Sheen,4
47,2018-06-13 00:00:00,Gladstone,Unknown,Unknown,Port Limits,"Gladstone Marina, Gladstone",Sheen,12
48,2018-06-28 00:00:00,Townsville,Unknown,Unknown,Port Limits,"Ross Creek Boat Ramp, Townsville",Oil,2
0,4/07/2018,Brisbane,Land,,Coastal Waters,"Vicinity of Pelican Boat Hire, Brisbane",Hydraulic oil,<2l
1,9/07/2018,Cairns,Unknown,Unknown,Port Limits,"Vicinity of Prawn Star Seafoods, Cairns",Oil,2-3l
2,13/07/2018,Townsville,Unknown,Unknown,Port Limits,"Goondi Creek, Townsville",Sheen,500x6m
3,21/07/2018,Mackay,Ship,Rec,Coastal Waters,"Berth 98, Port of Airlie, Airlie Beach",Hydraulic Oil,15l
4,31/07/2018,Brisbane,Ship,Comm,Port Limits,"GrainCorp Terminal, Brisbane",Hydraulic Oil,<1l
5,13/08/2018,Cairns,Unknown,Unknown,Coastal Waters,"Port Douglas Yacht Club, Port Douglas",Diesel,Unknown
6,9/09/2018,Cairns,Land,,Port Limits,"Chith Export Facility, Skardon River",Diesel,100-200l
7,11/09/2018,Gladstone,Ship,Fish,Port Limits,"Hervey Bay Marina, Hervey Bay",Bilge Water,200m x 10m
8,13/09/2018,Gladstone,Unknown,Unknown,Port Limits,"Great Sandy Straits Marina, Hervey Bay",Bilge Water ,95m x 25m
9,17/09/2018,Cairns,Ship,Comm,Port Limits,"A finger, Cairns Fishrmans Base, Cairns",Diesel,20-30l
10,19/10/2018,Gladstone,Ship,Comm,Port Limits,"Great Sandy Straits Marina, Hervey Bay",Hydraulic Oil,1l
11,15/11/2018,Brisbane,Unknown,Unknown,Port Limits,"Aquatic Paradise Canal, Brisbane",Sheen,100mx100m
12,25/11/2018,Brisbane,Ship,Comm,Port Limits,"Lamb Island Boat Ramp, Brisbane",Sump Oil,20l
13,8/12/2018,Gladstone,Unknown,Unknown,Port Limits,"Gladstone Marina, Gladstone",Bilge Water,200mx4m
14,8/01/2019,Brisbane,Ship,Recreational,Coastal Waters,"Sanctuary Cove Marina, Sanctuary Cove",Diesel,Sheen
15,14/01/2019,Mackay,Land,,Coastal Waters,"Airlie Creek, Airlie Beach",Cooking Oil,100m x 50m
16,14/01/2019,Brisbane,Ship,Tanker,Port Limits,"GrainCorp Liquid Terminal, Brisbane",Palm Oil,200l
17,17/01/2019,Cairns,Unknown,Unknown,Coastal Waters,"Poll Islet (S Warraber Island), Torres Straits",Oil,44g drum
18,4/02/2019,Gladstone,Ship,Comm,Port Limits,"Burnett Heads Marina, Bundaberg",Hydraulic Oil,2x2m
19,6/02/2019,Mackay,Ship,Comm,Port Limits,"Anchored off Airlie Beach, Airlie Beach",Sheen,4x5m
20,9/02/2019,Townsville,Ship,Rec,Port Limits,"Townsville Duck Pond, Townsville",Sheen,600x150m
21,13/02/2019,Cairns,Unknown,Unknown,Port Limits,"Smiths Creek, Trinity Inlet, Cairns",Sheen,Unknown
22,27/02/2019,Brisbane,Ship,Rec,Coastal Waters,"Compass Marina, Scarborough",Diesel,100x3m
23,1/03/2019,Townsville,Land,Comm,Port Limits,"Port of Townsville berths, Townsville",Diesel,10l
24,15/03/2019,Gladstone,Land,,Coastal Waters,"Fitzroy River, Rockhampton",Sheen,650x2m
25,16/03/2019,Brisbane,Ship,Rec,Port Limits,"Hope Island Marina, Gold Coast",Hydraulic Oil,20l
26,16/03/2019,Brisbane,Ship,Rec,Port Limits,"Cabbage Tree Creek, Deagon, Brisbane",Diesel,Unknown
27,21/03/2019,Cairns,Ship,Comm,Port Limits,"Smiths Creek, Trinity Inlet, Cairns",Hydraulic oil,30l
28,27/03/2019,Cairns,Ship,Comm,Coastal Waters,Lockhart River ,Diesel,200-400l
29,29/03/2019,Gladstone,Ship,Comm,Port Limits,"Gladstone Bunkering Anchorage, Gladstone",Diesel,600x20m
30,23/04/2019,Brisbane,SHIP,Rec,Marina,"Mooloolaba Marina, Mooloolaba",Diesel,2l
31,29/04/2019,Cairns,Ship,Comm,Port Limits,"Humbug Wharf,  Weipa",Hydraulic Oil ,Unknown
32,29/04/2019,Cairns,Ship,Fishing,Port Limits,Main Wharf  - Thursday Island ,Bilge Water,10-15l
33,30/04/2019,Cairns,Ship,Comm,Port Limits,"Marlin Marina, Cairns",Cooking Oil,200l
34,14/05/2019,Gladstone,Ship,Unknown,Coastal Waters,"Burnett Heads, Bundaberg",Garbage,Unknown
35,17/05/2019,Brisbane,Ship,Comm,Coastal Waters,"Sea World Wharf, Gold Coast",Diesel,0.5l
36,24/05/2019,Cairns,ship,Comm,Port Limits,"Trinity Wharf, Cairns",Oil,Unknown
37,26/05/2019,Cairns,Unknown,Unknown,Port Limits,"Smiths Creek, Trinity Inlet, Cairns",Sheen,20mx30m 
38,27/05/2019,Gladstone,Coral,,Port Limits,"Gladstone Marina, Gladstone",Trichodesmium,200m
39,29/05/2019,Cairns,Ship,Comm,Coastal Waters,"Blue Water Canal, Gold Coast",Diesel,4l
40,28/05/2019,Brisbane,Ship,REC,Coastal Waters,"Runaway Bay, Gold Coast",Diesel,200mx 50m
41,31/05/219 ,Brisbane,Land,,Port Limits,"Caltex Wharf, Lytton, Brisbane",Diesel,50-60m
42,1/06/2019,Gladstone,Ship,Comm,Port Limits,"Gladstone Harbour, Gladstone",Sheen,1m x 10m
43,6/06/2019,Gladstone,Ship,Comm,Port Limits,"Gladstone Harbour, Gladstone",Sheen,0.5 x 5m
44,13/06/2019,Gladstone,Ship,Rec,Coastal Waters,"Round Hill Creek, Town of 1770",Sheen,50m
45,28/06/219,Mackay,ship,Comm,Port Limits,"Maritime Terminal, Port of Airlie, Airlie Beach",Sheen,0.5m X 3m
0,1/07/2019,Brisbane,Ship,Recreational,Coastal Waters,"Southport Yacht Club, Southport",Diesel,50L
1,1/07/2019,Brisbane,Ship,Commercial,Coastal Waters,"Carlo Point, Great Sandy Straits, Hervey Bay ",Garbage,Unknown
2,8/07/2019,Brisbane,Ship,Commercial,Port Limits,"Koopa Channel Swing Basin, Brisbane",Hydraulic Oil,Unknown
3,16/07/2019,Cairns,Ship,Fishing,Port Limits,"Raptis Wharf, Karumba",Bilge,50L
4,19/07/2019,Gladstone,Ship,Fishing,Port Limits,"Rosslyn Bay Marina, Rosslyn Bay",Diesel,1200L
5,5/08/2019,Cairns,Ship,Commercial,Port Limits,"Marlin Marina, Cairns",Diesel,2-3L
6,7/08/2019,Cairns,Ship,Fishing,Port Limits,"Cairns Commercial Fishing Base #2, Trinity Inlet, Cairns",Diesel,1000L
7,8/08/2019,Brisbane,Ship,Commercial,Port Limits,"Caltex Products Wharf, Lytton Rocks, Brisbane ",Other,< 20L
8,7/08/2019,Cairns,Ship,Commercial,Port Limits,"Cairns Commercial Fishing Base #2, Trinity Inlet, Cairns",Diesel,10L
9,11/08/2019,Gladstone,Land,,Port Limits,"Service Pontoon, Gladstone Marina, Gladstone",Diesel,100L
10,17/08/2019,Gladstone,Unknown,Unknown,Port Limits,"Gladstone Marina, Gladstone",Diesel,40-50L
11,19/08/2019,Brisbane,Ship,Recreational,Coastal Waters,"Ephraim Island, Paradise Point",Diesel,< 5L
12,25/08/2019,Gladstone,Ship,Tanker,Port Limits,"Auckland Point Berth #3, Gladstone",Other,7-10 m2
13,27/08/2019,Brisbane,Ship,Recreational,Coastal Waters,"Sovereign Island bridge, Paradise Point",Diesel,50m x 5m
14,28/08/2019,Cairns,Ship,Commercial,Coastal Waters,"Norman Reef, Cairns",Other,6-8L
15,10/09/2019,Gladstone,Ship,Unknown,Coastal Waters,"Public Boat Ramp, Burrum River",Diesel,50m x 5m
16,14/09/2019,Cairns,Ship,Trading Ship,Port Limits,"Lorim Point West Berth, Weipa",Other,20mx  5m
17,18/09/2019,Brisbane,Ship,Commercial,Coastal Waters,"Aquatic Paradise Canal, Birkdale ",Other,0.5L
18,19/09/2019,Gladstone,Ship,Recreational,Port Limits,"Gladstone Marina, Gladstone",Sheen,100m x 50m
19,4/10/2019,Gladstone,Unknown,Unknown,Coastal Waters,"Public Boat Ramp, Burnett River, Hervey Bay",Other,3L
20,9/10/2019,Mackay,Ship,Recreational,Coastal Waters,"Coral Sea Marina, Airlie Beach",Diesel,32L 
21,12/10/2019,Brisbane,Unknown,Unknown,Inland waters,"Dockside Marina, Shafston Reach, Kangaroo Point ",Diesel,15m  wide 
22,15/10/2019,Townsville,Unknown,Unknown,Port Limits,"Townsville Breakwater Marina, Townsville",Sheen,<5L
23,24/10/2019,Brisbane,Ship,Commercial,Coastal Waters," 15nm E Point Cartwright, Mooloolaba ",,algal bloom
24,31/10/2019,Brisbane,Ship,Commercial,Coastal Waters,"Currimundi Reef, Caloundra, Sunshine Coast",Diesel,3000m X 2000m
25,4/11/2019,Townsville,Land,,Port Limits,"Port Berth #1, Townsville",Other,100ml
26,3/11/2019,Brisbane,Unknown,Unknown,Inland waters,"27 Mooloolah Drive, Minyama",Sheen,<5L
27,15/11/2019,Cairns,Ship,Commercial,Coastal Waters,"Normanby Sound, Torres Strait",Other,1300L
28,17/11/2019,Cairns,Ship,Recreational,Port Limits,"MSQ Marine Operations Base, Port smith, Cairns",Sheen,100m x 50m
29,18/11/2019,Brisbane,Unknown,Unknown,Coastal Waters,"Offshore Kings Beach, Caloundra",Other,10m x 2nm
30,20/11/2019,Townsville,Unknown,Unknown,Port Limits,"Nelly Bay Harbour, Magnetic Island",Diesel,50m x 30m
31,21/11/2019,Brisbane,Ship,Recreational,Coastal Waters,"Ooncooncoo Bay, Russell Island ",Diesel,1m x 10M
32,23/11/2019,Townsville,Unknown,Unknown,Coastal Waters,"Cape Upstart National Park, Cape Upstart, Townsville",Sheen,Unknown
33,25/11/2019,Brisbane,Unknown,Unknown,Coastal Waters,"Raby Bay, Cleveland",Other,algal bloom
34,28/11/2019,Brisbane,Land,,Port Limits,"GrainCorp Liquid Terminal, Fisherman Islands",Other,200+L
35,2/12/2019,Gladstone,Ship,Commercial,Port Limits,"Gladstone Marina, Gladstone",Other,500m X 50M
36,7/12/2019,Gladstone,Ship,Recreational,Port Limits,"Fodico Marina Facility, Gladstone Marina, Gladstone",Diesel,10 litres
37,7/12/2019,Mackay,Land,Commercial,Port Limits,"Marine Transit Terminal, Airlie Beach ",Other,
38,9/12/2019,Cairns,Ship,Commercial,Port Limits,"Trinity Wharf, Cairns",Other,30L
39,11/12/2019,Brisbane,Ship,Recreational,Port Limits,"Beachmere boat ramp,  Caboolture River, vessel sunk ",Other,none
40,12/12/2019,Cairns,Land,,Port Limits,"Trinity Wharf #4, Cairns",Diesel,1L
41,14/12/2019,Brisbane,Ship,Recreational,Port Limits,"Weinam Creek, Redland Bay",Diesel,1500L
42,16/12/2019,Cairns,Ship,Unknown,Port Limits,Inner GBR route off Mourilyan ,Other,oily rags
43,5/01/2020,Brisbane,Ship,Recreational,Inland waters,"Private Pontoon, Banksia Beach ",Diesel,600m x 60m 
44,7/01/2020,Townsville,Unknown,Unknown,Port Limits,"West Point, Magnetic Island",Diesel,unknown
45,8/01/2020,Mackay,Ship,Recreational,Port Limits,"Mackay Marina, Mackay",Other,1 cubic metre
46,9/01/2020,Cairns,Ship,Commercial,Port Limits,"Ship Yard, Thursday Island",Bilge,3m x 50m
47,16/01/2020,Brisbane,Unknown,Unknown,Port Limits,"Calypso Bay Marina, Jacobs Well",Sheen,20m x 5m 
48,17/01/2020,Mackay,Land,,Port Limits,"Barge loading terminal, Shute Harbour",Other,40L
49,23/01/2020,Cairns,Ship,Commercial,Port Limits,"Trinity Wharf #1, Cairns",Diesel,2L
50,29/01/2020,Brisbane,Ship,Unknown,Coastal Waters,"Horseshoe Bay, Peel Island, Moreton Bay ",Diesel,Unknown
51,29/01/2020,Brisbane,Unknown,Unknown,Coastal Waters,"Yidney Rocks, Fraser Island ",Other,300 L
52,12/02/2020,Gladstone,Unknown,Unknown,Port Limits,"Hervey Bay Marina, Hervey Bay ",Sheen,100m x 75m 
53,13/02/2020,Brisbane,Ship,Recreational,Inland waters,"Blair Athol Crescent,  Bundall ",Sheen,2m x 10m
54,14/02/2020,Brisbane,Ship,Unknown,Port Limits,"Russell Island Ferry Terminal , Russel Island",Sheen,200 x 20m
55,15/02/2020,Cairns,ship,Recreational,Port Limits,"Smiths Creek, Trinity Inlet, Cairns ",Sheen,10l
56,24/02/2020,Brisbane,Unknown,Commercial,Port Limits,"Commercial fishing wharves, Mooloolah River",Sheen,50m x 15m
57,3/03/2020,Brisbane,Ship,Commercial,Port Limits,"Queens Wharf Project, Brisbane River ",Bilge,150m x 2M
58,5/03/2020,Mackay,Ship,Commercial,Port Limits,"Berth 1 bunker wharf, Hay point ",Diesel,1L
59,6/03/2020,Gladstone,Ship,Recreational,Inland waters,"Turan Creek, Sandy Straits",Sheen,Unknown
60,5/03/2020,Brisbane,Unknown,Unknown,Coastal Waters,"Entrance Channel, Brisbane",Other,Unknown
61,15/03/2020,Gladstone,Ship,Commercial,Coastal Waters,"Shipping Channel, 150Km's east of Gladstone",Other,unknown
62,16/03/2020,Brisbane,Unknown,Unknown,Port Limits,"Commercial fishing wharves, Mooloolah River , Mooloolaba",Sheen,30mx 10m
63,19/03/2020,Cairns,Unknown,Unknown,Port Limits,"Cairns Port #11-#12 berths , Cairns",Diesel,50m wide 
64,29/03/2020,Gladstone,Ship,Commercial,Port Limits,"Gladstone Harbour, Clinton Swing Basin, Gladstone",Hydraulic Oil,<2 litres
65,10/04/2020,Brisbane,Ship,Recreational,Inland waters,"Currigee Inlet, South Stradbroke Island ",Diesel,30m X 2 M 
66,14/04/2020,Gladstone,Ship,Recreational,Port Limits,"Gladstone Marina T finger, Gladstone",Diesel,1 litre
67,16/04/2020,Cairns,Ship,Fishing,Coastal Waters,"Horn Island anchorage, Torres Strait ",Diesel,80 litres
68,21/04/2020,Brisbane,Ship,Commercial,Port Limits,"Tug Base White Island , Brisbane",Hydraulic Oil,0.5 litres
69,26/04/2020,Cairns,Ship,Fishing,Port Limits,"Fisherman's Base Berth B21, Cairns",Diesel,10 X 10 M
70,28/04/2020,Brisbane,Ship,Fishing,Inland waters,"Quarries Reach, Brisbane River, Brisbane",Other,150x5m 
71,2/05/2020,Gladstone,Ship,Recreational,Inland waters,"Tewah Creek, Tin Can Bay ",Other,nil
72,15/05/2020,Gladstone ,Ship,Commercial,Inland waters,"Clinton Swing Basin, Gladstone ",Hydraulic Oil,10 litres
73,20/05/2020,Brisbane,Unknown,Commercial,Port Limits,"Commercial Fishing Wharves, Mooloolah River, Mooloolaba",Diesel,50m X 20m
74,21/05/2020,Gladstone,Ship,Trading Ship,Port Limits,"Gladstone Port Limits, Gladstone",Hydraulic Oil,500ml to 1 litre
75,29/05/2020,Brisbane,Ship,Commercial,Port Limits,"Spinnaker Sound Marina, Sandstone Point",Bilge,2-6 litres
76,6/01/2020,Gladstone,Unknown,Unknown,Port Limits,"Capricorn Coast Yacht Club, Keppel Bay Marina, Rosslyn Bay",Bilge,1 litre
77,6/01/2020,Gladstone,Unknown,Unknown,Port Limits,"Snapper Creek, Tin Can Bay",Diesel,100m x 2 m
78,6/02/2020,Brisbane,Ship,Commercial,Port Limits,"Hope Island Harbour Marina, Hope Island",Diesel,200 litres
79,6/02/2020,Gladstone,Ship,Unknown,Port Limits,"Keppel Bay Marina, Rosslyn Bay",Bilge,1/2 litre
80,6/03/2020,Brisbane,Ship,Commercial,Port Limits,"Fisherman Islands, Port of Brisbane ",Other,20 to 30 litres 
81,6/12/2020,Brisbane,Ship,Commercial,Inland waters,"Bulimba Creek, Bulimba, Brisbane",Diesel,<5 litres
82,13/06/2020,Gladstone ,Unknown,Unknown,Coastal Waters,"Gladstone Harbour, 2 way route, Gladstone ",unknown,1nm wide & long 
83,13/06/2020,Cairns,Ship,Recreational,Coastal Waters,"Arlington Reef, Grafton Passage, Cairns",unknown,75 Litres 
84,15/06/2020,Gladstone ,Ship,Recreational,Port Limits,"Gladstone Marina, Gladstone",Other,<90 litres 
85,16/06/2020,Townsville ,Ship,Commercial,Port Limits,"Breakwater Terminal, Ross Creek, Townsville",Sewage,> 100 Litres
86,16/06/2020,Brisbane,Ship,Commercial,Port Limits,"Fisherman Island 3 berth, Port of Brisbane ",Hydraulic Oil,100- 200ml
87,23/06/2020,Cairns,Unknown,Unknown,Port Limits,"Cairns Marlin Marina, Cairns",Diesel,3-5 litres
88,29/06/2020,Cairns,Land,Recreational,Port Limits,"Cairns Marlin Marina Sail fish Quays , Cairns",Diesel,2-3 litres
